ROI,Area,Mean_Intensity,Perimeter,Eccentricity,Circularity
1,2378.0,0.9878273058592655,372.6761902332486,0.5184901972061646,0.2151584564436268
2,1432.0,0.987271880819367,213.4386001800126,0.8611353689232498,0.3950089665675614
3,70.0,0.9530476190476191,34.72792206135786,0.9055053241443278,0.7293740499818886
4,337.0,0.9911968348170128,65.35533905932738,0.5167158115283011,0.9914655320630384
5,741.0,0.990157444894287,146.0243866176395,0.9428464524181168,0.436694066152177
6,413.0,0.9915254237288136,73.698484809835,0.4499967538425866,0.9555266349752546
7,329.0,0.9885309017223911,67.35533905932738,0.6640772262495188,0.911300710002777
8,734.0,0.9916348773841963,109.05382386916237,0.7458703651081433,0.7755755818320266
9,638.0,0.9883699059561127,110.46803743153546,0.5414874081001377,0.6569877408928587
10,303.0,0.9911111111111112,62.76955262170047,0.3242165831948206,0.9663944472730893
11,200.0,0.9949333333333334,52.87005768508881,0.7656698710556308,0.8991254510643082
12,383.0,0.9933507397737162,71.01219330881975,0.4444384109010735,0.9544271495043181
13,359.0,0.9936861652739091,69.35533905932738,0.5888948503607424,0.9378740383645758
14,259.0,0.9927413127413127,58.87005768508881,0.6486773137022,0.9391191691200499
15,174.0,0.9942911877394636,50.87005768508881,0.7551547571415821,0.8449570853982282
16,140.0,0.9917619047619047,44.62741699796952,0.7887882992957077,0.8833532228173054
17,195.0,0.9884786324786324,53.45584412271571,0.7965694345071794,0.8575394169561837
18,793.0,0.988617065994115,134.71067811865476,0.9102248867946207,0.5491348503284211
19,111.0,0.9947147147147146,42.04163056034261,0.8423661741916821,0.7891757646316043
20,112.0,0.9932738095238095,42.62741699796952,0.8334326989746861,0.7745507018763228
21,112.0,0.9932142857142857,38.384776310850235,0.7283675641462503,0.9552341901921952
22,429.0,0.9901165501165501,74.18376618407356,0.4113772456460826,0.9796014071874729
23,711.0,0.9901453352086264,122.22539674441617,0.8629310390282026,0.598076245585385
24,414.0,0.9957648953301127,72.76955262170047,0.424535751818965,0.9824507652432458
25,183.0,0.9860837887067394,60.76955262170047,0.9265938789391003,0.6227143523608041
26,694.0,0.9943707973102787,125.63961030678928,0.8769349202950608,0.5524795065337026
27,214.0,0.987601246105919,56.87005768508881,0.726964759464427,0.8314886010770005
28,90.0,0.9941481481481481,36.62741699796952,0.8264222468447954,0.843023706945854
29,539.0,0.9885961657390229,106.81118318204308,0.8423060567555603,0.593697441521041
30,279.0,0.9951732377538828,61.45584412271571,0.761237998327011,0.9282985898906702
31,480.0,0.9911111111111112,94.91168824543142,0.8403730248239365,0.6695942327582369
32,382.0,0.9921815008726003,69.698484809835,0.3866345693599198,0.98815836856989
33,371.0,0.9882300089847259,69.35533905932738,0.49274701821424305,0.9692235883934753
34,1638.0,0.9956369556369555,171.4386001800126,0.7477061497008518,0.7003361389219702
35,244.0,0.9897814207650273,64.76955262170047,0.8694300580024055,0.7308998887453998
36,54.0,0.982716049382716,28.384776310850235,0.8804852484599698,0.8422338105333187
37,350.0,0.9926857142857144,66.5269119345812,0.2898901378835578,0.9937638145943758
38,3685.0,0.9914391677973766,481.4873734152916,0.780924694024259,0.19974575156501503
39,704.0,0.9918655303030303,110.32590180780451,0.8682394533382224,0.7268211408401037
40,786.0,0.9893214588634436,123.63961030678928,0.8706073654972892,0.6461259071742828
41,1625.0,0.9918276923076923,178.61017305526642,0.7635611863441356,0.6401044505891936
42,1009.0,0.9962272877436407,118.71067811865476,0.6089658050292244,0.8997491780369362
43,112.0,0.996547619047619,40.384776310850235,0.846214520358202,0.8629636911077405
44,321.0,0.9867082035306335,64.2842712474619,0.25437374943499097,0.9761250241178966
45,315.0,0.9936931216931216,63.11269837220809,0.3881259520503788,0.9937723756694689
46,295.0,0.9943502824858759,62.526911934581186,0.5037544460907957,0.9481955641290777
47,256.0,0.9845312500000001,57.11269837220809,0.3076484115716978,0.9862442184088465
48,275.0,0.9899878787878788,59.11269837220809,0.3622535918342958,0.9889651525883624
49,3881.0,0.993779953620201,461.78888860545663,0.878512989617303,0.22870020243090156
50,95.0,0.9864561403508773,37.798989873223334,0.885345685746639,0.83555122677782
51,1092.0,0.9934737484737484,153.78174593052023,0.8296389376686538,0.5802603930447382
52,288.0,0.989375,61.698484809834994,0.5315360073245979,0.9507215851820835
53,249.0,0.9894779116465865,60.526911934581186,0.7301287029247698,0.8541067956492849
54,314.0,0.9904033970276009,63.45584412271571,0.5444269426242657,0.9799327237916312
55,502.0,0.9881806108897744,81.01219330881976,0.3574342769949433,0.9611978716564193
56,715.0,0.9933519813519813,119.63961030678928,0.8607565550280559,0.6277199424959332
57,408.0,0.993970588235294,72.5269119345812,0.4719879969976174,0.9747015447550116
58,278.0,0.9946043165467626,60.2842712474619,0.5596930131066732,0.9612727460786504
59,1552.0,0.9937972508591066,153.6812408671319,0.6086967097580762,0.8257714506665926
60,562.0,0.9935112692763939,85.59797974644667,0.3811406687440385,0.9638715244074259
61,557.0,0.9928306403351287,85.59797974644665,0.3844739061656076,0.9552961549731965
62,493.0,0.9921027721433401,83.49747468305833,0.6431863740668716,0.8886077604679933
63,2209.0,0.9932397766711936,215.1370849898476,0.6948411408228412,0.599756578427201
64,768.0,0.9885503472222222,137.53910524340094,0.8986313871729223,0.5101744378381484
